source_wav,annotation_file,call_index,call_type,begin_time,end_time,freq_min,freq_max,nfft,nperseg,noverlap,saved_spectrogram,label
5713.210806110002,5713.210806110002.Table.1.selections.txt,0,Rupe B,13.433864864,13.703649037,20,2000,8192,4096,2048,5713.210806110002_seg0_call_0.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,1,Rupe B,26.072555253,26.283886188,20,2000,8192,4096,2048,5713.210806110002_seg0_call_1.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,2,Rupe A,53.382769186,53.528887907,20,2000,8192,4096,2048,5713.210806110002_seg0_call_2.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,3,Rupe A,65.997665355,66.110075427,20,2000,8192,4096,2048,5713.210806110002_seg0_call_3.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,4,Rupe B,81.003161373,81.266116762,20,2000,8192,4096,2048,5713.210806110002_seg0_call_4.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,5,Rupe B,86.568315707,86.874071102,20,2000,8192,4096,2048,5713.210806110002_seg0_call_5.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,6,Rupe A,97.068628421,97.333468604,20,2000,8192,4096,2048,5713.210806110002_seg0_call_6.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,7,Rupe A,97.899553556,98.048987093,20,2000,8192,4096,2048,5713.210806110002_seg0_call_7.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,8,Rupe A,105.623018046,105.750195524,20,2000,8192,4096,2048,5713.210806110002_seg0_call_8.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,9,Rupe A,106.102973655,106.167549617,20,2000,8192,4096,2048,5713.210806110002_seg0_call_9.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,10,Rupe A,106.716445292,106.768106061,20,2000,8192,4096,2048,5713.210806110002_seg0_call_10.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,11,Rupe B,107.710915103,107.975676546,20,2000,8192,4096,2048,5713.210806110002_seg0_call_11.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,12,Rupe A,117.189087212,117.311781539,20,2000,8192,4096,2048,5713.210806110002_seg0_call_12.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,13,Rupe A,117.938168368,118.035032311,20,2000,8192,4096,2048,5713.210806110002_seg0_call_13.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,14,Rupe A,118.499944937,118.608045794,20,2000,8192,4096,2048,5713.210806110002_seg0_call_14.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,15,Rupe A,119.695407316,119.83848198,20,2000,8192,4096,2048,5713.210806110002_seg0_call_15.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,16,Rupe B,121.986442345,122.332635121,20,2000,8192,4096,2048,5713.210806110002_seg0_call_16.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,17,Rupe B,122.688726458,122.882672113,20,2000,8192,4096,2048,5713.210806110002_seg0_call_17.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,18,Rupe A,123.206928022,123.375484843,20,2000,8192,4096,2048,5713.210806110002_seg0_call_18.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,19,Rupe A,124.043166605,124.097217034,20,2000,8192,4096,2048,5713.210806110002_seg0_call_19.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,20,Rupe A,124.507355405,124.647250631,20,2000,8192,4096,2048,5713.210806110002_seg0_call_20.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,21,Rupe A,126.036664585,126.256045736,20,2000,8192,4096,2048,5713.210806110002_seg0_call_21.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,22,Rupe A,129.332893466,129.526839121,20,2000,8192,4096,2048,5713.210806110002_seg0_call_22.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,23,Rupe A,141.756918304,141.930919691,20,2000,8192,4096,2048,5713.210806110002_seg0_call_23.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,24,Rupe A,144.04290735,144.261435661,20,2000,8192,4096,2048,5713.210806110002_seg0_call_24.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,25,Rupe B,243.849832846,244.096333166,20,2000,8192,4096,2048,5713.210806110002_seg0_call_25.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,26,Rupe A,253.643892285,253.798874593,20,2000,8192,4096,2048,5713.210806110002_seg0_call_26.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,27,Type 4 A,262.381020655,262.566851621,20,2000,8192,4096,2048,5713.210806110002_seg0_call_27.npy,Type 4 A
5713.210806110002,5713.210806110002.Table.1.selections.txt,28,Rupe A,263.879182968,264.092283642,20,2000,8192,4096,2048,5713.210806110002_seg0_call_28.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,29,Rupe A,265.180335262,265.396536976,20,2000,8192,4096,2048,5713.210806110002_seg0_call_29.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,30,Rupe A,278.213540146,278.448818481,20,2000,8192,4096,2048,5713.210806110002_seg0_call_30.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,31,Rupe B,308.350812236,308.591343175,20,2000,8192,4096,2048,5713.210806110002_seg0_call_31.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,32,Rupe B,374.207326449,374.472166632,20,2000,8192,4096,2048,5713.210806110002_seg0_call_32.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,33,Rupe B,375.601271907,375.882652079,20,2000,8192,4096,2048,5713.210806110002_seg0_call_33.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,34,Rupe B,377.971134921,378.252515093,20,2000,8192,4096,2048,5713.210806110002_seg0_call_34.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,35,Rupe B,387.77803971,387.98260597,20,2000,8192,4096,2048,5713.210806110002_seg0_call_35.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,36,Rupe C,396.689586239,397.027452061,20,2000,8192,4096,2048,5713.210806110002_seg0_call_36.npy,Rupe C
5713.210806110002,5713.210806110002.Table.1.selections.txt,37,Type 4 A,417.311333151,417.634046003,20,2000,8192,4096,2048,5713.210806110002_seg0_call_37.npy,Type 4 A
5713.210806110002,5713.210806110002.Table.1.selections.txt,38,Type 4 A,420.282988853,420.570727898,20,2000,8192,4096,2048,5713.210806110002_seg0_call_38.npy,Type 4 A
5713.210806110002,5713.210806110002.Table.1.selections.txt,39,Rupe A,444.818625428,444.98300899,20,2000,8192,4096,2048,5713.210806110002_seg0_call_39.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,40,Rupe A,519.214171534,519.342025416,20,2000,8192,4096,2048,5713.210806110002_seg0_call_40.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,41,Rupe A,519.643395279,519.789514,20,2000,8192,4096,2048,5713.210806110002_seg0_call_41.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,42,Rupe A,521.159374217,521.259830838,20,2000,8192,4096,2048,5713.210806110002_seg0_call_42.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,43,Rupe A,522.127410746,522.246132208,20,2000,8192,4096,2048,5713.210806110002_seg0_call_43.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,44,Rupe B,523.281711158,523.5519633,20,2000,8192,4096,2048,5713.210806110002_seg0_call_44.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,45,Rupe C,527.05116228,527.443856344,20,2000,8192,4096,2048,5713.210806110002_seg0_call_45.npy,Rupe C
5713.210806110002,5713.210806110002.Table.1.selections.txt,46,Rupe A,527.813454841,527.989913593,20,2000,8192,4096,2048,5713.210806110002_seg0_call_46.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,47,Rupe A,528.748209309,528.880155943,20,2000,8192,4096,2048,5713.210806110002_seg0_call_47.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,48,Rupe A,529.477138898,529.570932288,20,2000,8192,4096,2048,5713.210806110002_seg0_call_48.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,49,Rupe A,530.530614334,530.60130604,20,2000,8192,4096,2048,5713.210806110002_seg0_call_49.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,50,Rupe B,538.827067577,539.129114088,20,2000,8192,4096,2048,5713.210806110002_seg0_call_50.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,51,Rupe B,548.861666152,549.060380962,20,2000,8192,4096,2048,5713.210806110002_seg0_call_51.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,52,Rupe B,555.796179111,556.066431253,20,2000,8192,4096,2048,5713.210806110002_seg0_call_52.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,53,Rupe B,556.793811456,557.000474859,20,2000,8192,4096,2048,5713.210806110002_seg0_call_53.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,54,Rupe B,558.599561567,558.914765439,20,2000,8192,4096,2048,5713.210806110002_seg0_call_54.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,55,Rupe B,590.707223298,590.854390591,20,2000,8192,4096,2048,5713.210806110002_seg0_call_55.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,56,Rupe B,599.511751387,599.847181987,20,2000,8192,4096,2048,5713.210806110002_seg0_call_56.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,57,Rupe B,626.353310589,626.49942931,20,2000,8192,4096,2048,5713.210806110002_seg0_call_57.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,58,Rupe B,627.650114242,627.796232963,20,2000,8192,4096,2048,5713.210806110002_seg0_call_58.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,59,Rupe B,651.745096174,651.988323102,20,2000,8192,4096,2048,5713.210806110002_seg0_call_59.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,60,Rupe A,654.564732681,654.612424236,20,2000,8192,4096,2048,5713.210806110002_seg0_call_60.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,61,Rupe A,656.165510643,656.245943605,20,2000,8192,4096,2048,5713.210806110002_seg0_call_61.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,62,Rupe B,657.825513613,658.055921259,20,2000,8192,4096,2048,5713.210806110002_seg0_call_62.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,63,Rupe A,667.242196159,667.337579268,20,2000,8192,4096,2048,5713.210806110002_seg0_call_63.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,64,Rupe A,668.258329933,668.394166252,20,2000,8192,4096,2048,5713.210806110002_seg0_call_64.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,65,Type 4 A,673.290293175,673.436411896,20,2000,8192,4096,2048,5713.210806110002_seg0_call_65.npy,Type 4 A
5713.210806110002,5713.210806110002.Table.1.selections.txt,66,Rupe A,682.194376001,682.265473597,20,2000,8192,4096,2048,5713.210806110002_seg0_call_66.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,67,Type 4 A,685.765152257,686.027117482,20,2000,8192,4096,2048,5713.210806110002_seg0_call_67.npy,Type 4 A
5713.210806110002,5713.210806110002.Table.1.selections.txt,68,Rupe A,684.646193663,684.697064654,20,2000,8192,4096,2048,5713.210806110002_seg0_call_68.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,69,Type 4 A,687.264931384,687.500311131,20,2000,8192,4096,2048,5713.210806110002_seg0_call_69.npy,Type 4 A
5713.210806110002,5713.210806110002.Table.1.selections.txt,70,Rupe B,689.032629663,689.345059989,20,2000,8192,4096,2048,5713.210806110002_seg0_call_70.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,71,Rupe B,690.970630337,691.3176623,20,2000,8192,4096,2048,5713.210806110002_seg0_call_71.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,72,Type 4 A,704.114426998,704.278810559,20,2000,8192,4096,2048,5713.210806110002_seg0_call_72.npy,Type 4 A
5713.210806110002,5713.210806110002.Table.1.selections.txt,73,Rupe A,705.825910139,705.922646176,20,2000,8192,4096,2048,5713.210806110002_seg0_call_73.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,74,Type 4 A,706.918079966,707.164655308,20,2000,8192,4096,2048,5713.210806110002_seg0_call_74.npy,Type 4 A
5713.210806110002,5713.210806110002.Table.1.selections.txt,75,Rupe A,709.709184287,709.813057135,20,2000,8192,4096,2048,5713.210806110002_seg0_call_75.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,76,Type 4 A,731.372061975,731.692610056,20,2000,8192,4096,2048,5713.210806110002_seg0_call_76.npy,Type 4 A
5713.210806110002,5713.210806110002.Table.1.selections.txt,77,Rupe B,735.162016313,735.445121336,20,2000,8192,4096,2048,5713.210806110002_seg0_call_77.npy,Rupe B
5713.210806110002,5713.210806110002.Table.1.selections.txt,78,Rupe A,737.861853312,737.989707193,20,2000,8192,4096,2048,5713.210806110002_seg0_call_78.npy,Rupe A
5713.210806110002,5713.210806110002.Table.1.selections.txt,79,Rupe A,738.43131073,738.501122718,20,2000,8192,4096,2048,5713.210806110002_seg0_call_79.npy,Rupe A
